Product ID,Combination,Dry,Normal,Oily,Sensitive
235,1,1,1,1,1
236,0,0,0,0,0
237,1,1,1,0,1
238,0,0,1,0,1
239,0,0,0,0,0
240,0,1,1,0,1
241,1,1,1,1,1
242,0,0,0,0,0
243,1,0,1,1,1
244,1,1,1,1,0
245,1,1,1,0,0
246,1,1,1,1,0
247,0,0,0,0,0
248,1,0,1,1,0
249,1,1,1,1,1
250,1,1,1,1,1
251,0,0,0,0,0
252,1,1,1,1,1
253,1,1,1,1,1
254,1,1,1,1,0
255,1,1,1,1,1
256,1,1,1,1,0
257,1,1,1,0,1
258,0,0,0,0,0
259,0,0,0,0,0
260,0,0,0,0,0
261,1,1,1,0,1
262,0,1,0,0,0
263,0,0,0,0,0
264,1,1,1,1,1
265,1,1,1,1,1
266,1,1,1,1,1
267,0,0,0,0,0
268,1,1,1,1,1
269,1,0,1,1,1
270,1,1,1,1,1
271,0,0,0,0,0
272,0,0,0,0,0
273,1,1,1,1,1
274,0,0,0,0,0
275,0,0,0,0,0
276,0,0,0,0,0
277,1,1,1,1,1
278,1,1,1,1,1
279,0,0,0,0,0
280,1,1,0,0,0
281,1,1,1,1,1
282,0,0,0,0,0
283,1,1,1,1,1
284,1,1,1,1,1
285,0,0,0,0,0
286,0,0,0,0,0
287,1,1,1,1,0
288,1,1,1,1,1
289,0,0,0,0,0
290,0,1,1,0,0
291,0,0,0,0,0
292,1,1,1,0,0
293,1,1,1,1,1
294,0,0,1,1,0
295,1,0,0,1,1
296,0,0,0,0,0
297,1,1,1,1,1
298,1,1,1,1,1
299,1,1,1,1,0
300,1,1,1,1,0
301,0,0,0,0,0
302,1,1,1,1,1
303,1,1,1,1,1
304,0,0,0,0,0
305,0,0,0,0,0
306,1,1,1,1,1
307,1,1,1,1,1
308,0,0,0,0,0
309,0,0,0,0,0
310,0,0,0,0,0
311,1,0,1,1,1
312,1,1,1,1,1
313,1,1,1,1,1
314,0,0,0,0,0
315,1,1,1,1,0
316,0,0,0,0,0
317,1,1,1,1,1
