Ingredient ID,Ingredient
493,CANDELILLA CERA/EUPHORBIA CERIFERA (CANDELILLA) WAX
494,VACCINIUM MYRTILLUS FRUIT/LEAF EXTRACT
495,SOLUM DIATOMEAE/DIATOMACEOUS EARTH/TERRE DE DIATOMEES
496,DIMETHICONE PEG-10/15 CROSSPOLYMER
497,ACETYL TETRAPEPTIDE-9
498,HYDROGENATEDPOLYISOBUTENE
499,ARGININE COCOATE
500,PALMITOYL HYDROLYZED WHEAT PROTEIN
501,SOLANUM LYCOPERSICUM (TOMATO) FRUIT/LEAF/STEM EXTRACT
502,SIMMONDSIA CHINENSIS (ORGANIC JOJOBA) SEED OIL
503,SERICIN (SILK EXTRACT)
504,ETHYL MACADAMIATE
505,BOSWELLIA CARTERII (OLIBANUM) OIL
506,TETRAHEXLYDECYL ASCORBATE
507,(-)-ALPHA-BISABOLOL
